time_s,imp_IMP_MYUSM_L1,imp_IMP_MYUSM_R1,imp_IMP_MYUSM_L2,imp_IMP_MYUSM_R2,imp_IMP_FS_L1,imp_IMP_FS_R1,imp_IMP_FS_L2,imp_IMP_FS_R2,exp_AVy_L1,exp_AVy_R1,exp_AVy_L2,exp_AVy_R2,exp_Fz_L1,exp_Fz_R1,exp_Fz_L2,exp_Fz_R2,exp_CmpS_L1,exp_CmpS_R1,exp_CmpS_L2,exp_CmpS_R2,exp_Vz_Wc_L1,exp_Vz_Wc_R1,exp_Vz_Wc_L2,exp_Vz_Wc_R2,exp_Xo,exp_Vx,exp_Roll_E,exp_Pitch,exp_X_L1,exp_X_R1,exp_X_L2,exp_X_R2
0.0075,0,0,0,0,0,0,0,0,13.2654232,13.265554,13.2712806,13.2713566,22420.3326,22407.3732,21226.5906,21226.5893,53.5913818,53.5886188,50.6057803,50.6057891,-0.0104387153,-0.0146235693,-0.0127411644,-0.0127461979,100.005445,2.79958451,5.14668025e-07,-0.262916375,100.003465,100.003711,96.1034344,96.1034345
0.008,0,0,0,0,0,0,0,0,13.2674225,13.2675794,13.2731041,13.2731961,22420.1081,22407.6961,21226.5808,21226.58,53.5914754,53.5883954,50.6058574,50.6058674,-0.0102789824,-0.0145029198,-0.0127630122,-0.0127698484,100.005833,2.79949942,6.13467172e-07,-0.262918242,100.003854,100.004099,96.1038233,96.1038233
0.0085,0,0,0,0,0,0,0,0,13.2709776,13.2711622,13.2763956,13.2765051,22419.8785,22408.0156,21226.5732,21226.5733,53.591576,53.5881779,50.6059291,50.6059403,-0.0101397564,-0.0143666937,-0.0127835239,-0.0127922944,100.006222,2.79940604,7.22511505e-07,-0.262920047,100.004242,100.004487,96.1042121,96.1042121
0.009,0,0,0,0,0,0,0,0,13.2760235,13.2762373,13.2810943,13.2812227,22419.645,22408.3291,21226.5678,21226.5688,53.5916832,53.5879682,50.6059948,50.6060073,-0.0100222352,-0.0142186453,-0.0128020059,-0.0128128249,100.006611,2.7993047,8.42005898e-07,-0.262921767,100.00463,100.004875,96.1046009,96.104601
0.0095,0,0,0,0,0,0,0,0,13.282473,13.2827172,13.2871187,13.2872672,22419.409,22408.6345,21226.5642,21226.5664,53.5917965,53.5877677,50.6060541,50.6060678,-0.00992743817,-0.0140624281,-0.0128178628,-0.0128308268,100.007,2.7991959,9.72121494e-07,-0.262923377,100.005019,100.005263,96.1049897,96.1049898
0.01,0,0,0,0,0,0,0,0,13.2902187,13.2904943,13.2943681,13.2945379,22419.1718,22408.9297,21226.5621,21226.5658,53.5919154,53.5875778,50.6061066,50.6061216,-0.00985618753,-0.0139015505,-0.012830601,-0.0128457889,100.007389,2.79908021,1.11299775e-06,-0.262924858,100.005407,100.005651,96.1053785,96.1053786
0.0105,0,0,0,0,0,0,0,0,13.2991344,13.2994419,13.3027242,13.3029162,22418.9346,22409.2131,21226.5613,21226.5667,53.5920391,53.5873994,50.6061521,50.6061685,-0.00980909212,-0.013739335,-0.0128398323,-0.0128573053,100.007777,2.7989583,1.26474459e-06,-0.262926192,100.005795,100.00604,96.1057672,96.1057673
0.011,0,0,0,0,0,0,0,0,13.3090767,13.3094164,13.3120526,13.3122676,22418.6987,22409.4832,21226.5613,21226.5686,53.592167,53.5872334,50.6061906,50.6062084,-0.00978653295,-0.0135788808,-0.0128452744,-0.0128650766,100.008166,2.79883096,1.42744464e-06,-0.262927362,100.006184,100.006428,96.106156,96.1061561
0.0115,0,0,0,0,0,0,0,0,13.3198879,13.3202596,13.3222052,13.3224438,22418.4652,22409.7387,21226.5618,21226.5712,53.5922982,53.5870802,50.6062221,50.6062413,-0.00978865167,-0.0134230314,-0.0128467512,-0.0128689097,100.008555,2.79869903,1.60115549e-06,-0.262928354,100.006572,100.006816,96.1065447,96.1065448
0.012,0,0,0,0,0,0,0,0,13.3313979,13.3318011,13.3330224,13.3332849,22418.2353,22409.9788,21226.5623,21226.5741,53.5924318,53.5869402,50.6062468,50.6062675,-0.00981534185,-0.0132743455,-0.01284419,-0.0128687163,100.008944,2.79856343,1.785912e-06,-0.26292916,100.00696,100.007205,96.1069334,96.1069335
0.0125,0,0,0,0,0,0,0,0,13.3434269,13.3438607,13.3443352,13.344622,22418.01,22410.2027,21226.5623,21226.5768,53.592567,53.5868135,50.6062651,50.6062872,-0.00986624354,-0.0131350737,-0.0128376191,-0.0128645093,100.009332,2.79842512,1.98172867e-06,-0.26292977,100.007349,100.007593,96.1073221,96.1073222
0.013,0,0,0,0,0,0,0,0,13.3557882,13.3562513,13.3559684,13.3562794,22417.7906,22410.4101,21226.5616,21226.5789,53.5927028,53.5866999,50.6062773,50.6063009,-0.00994074121,-0.0130071397,-0.0128271624,-0.0128563984,100.009721,2.7982851,2.18860186e-06,-0.26293018,100.007737,100.007982,96.1077108,96.1077109
0.0135,0,0,0,0,0,0,0,0,13.3682911,13.368782,13.3677426,13.3680777,22417.5726,22410.6007,21226.5596,21226.5801,53.5928381,53.5865991,50.6062839,50.6063089,-0.0100377065,-0.0128921272,-0.0128130337,-0.0128445845,100.01011,2.79814441,2.40651216e-06,-0.262930389,100.008126,100.00837,96.1080994,96.1080995
0.014,0,0,0,0,0,0,0,0,13.3807437,13.3812602,13.3794774,13.3798362,22417.3669,22410.7712,21226.556,21226.5799,53.592972,53.5865106,50.6062854,50.606312,-0.0101567382,-0.012791021,-0.0127955292,-0.012829352,100.010498,2.79800406,2.63542654e-06,-0.262930399,100.008515,100.008759,96.108488,96.1084882
